year;month;day;hour;weekday;temp;blackout;phases;deenergized;function
2021;10;1;1;5;4.2;0;0;0;1.074
2021;10;1;2;5;2.9;0;0;0;0.925
2021;10;1;3;5;0.9;0;0;0;0.854
2021;10;1;4;5;3.5;0;0;0;0.818
2021;10;1;5;5;1.9;0;0;0;0.815
2021;10;1;6;5;3.9;0;0;0;0.87
2021;10;1;7;5;6.1;0;0;0;1.051
2021;10;1;8;5;10.9;0;0;0;1.306
2021;10;1;9;5;12.9;0;0;0;1.46
2021;10;1;10;5;13.3;0;0;0;1.554
2021;10;1;11;5;14.9;0;0;0;1.578
2021;10;1;12;5;14.9;0;0;0;1.55
2021;10;1;13;5;15.9;0;0;0;1.519
2021;10;1;14;5;14.9;0;0;0;1.491
2021;10;1;15;5;14.9;0;0;0;1.46
2021;10;1;16;5;14.1;0;0;0;1.417
2021;10;1;17;5;10.9;0;0;0;1.385
2021;10;1;18;5;9.9;0;0;0;1.373
2021;10;1;19;5;8.9;0;0;0;1.413
2021;10;1;20;5;4.9;0;0;0;1.515
2021;10;1;21;5;4.9;0;0;0;1.511
2021;10;1;22;5;6.9;0;0;0;1.452
2021;10;1;23;5;3.9;0;0;0;1.35
2021;10;1;24;5;1.9;0;0;0;1.2
2021;10;2;1;6;6;0;0;0;1.047
2021;10;2;2;6;2.9;0;0;0;0.917
2021;10;2;3;6;1.9;0;0;0;0.838
2021;10;2;4;6;4.6;0;0;0;0.803
2021;10;2;5;6;3.9;0;0;0;0.787
2021;10;2;6;6;4.9;0;0;0;0.811
2021;10;2;7;6;7.1;0;0;0;0.874
2021;10;2;8;6;11.9;0;0;0;0.968
2021;10;2;9;6;13.9;0;0;0;1.141
2021;10;2;10;6;14.3;0;0;0;1.291
2021;10;2;11;6;14.9;0;0;0;1.362
2021;10;2;12;6;14.9;0;0;0;1.365
2021;10;2;13;6;16.4;0;0;0;1.338
2021;10;2;14;6;15.9;0;0;0;1.306
2021;10;2;15;6;14.9;0;0;0;1.279
2021;10;2;16;6;14.1;0;0;0;1.247
2021;10;2;17;6;10.9;0;0;0;1.216
2021;10;2;18;6;9.9;0;0;0;1.24
2021;10;2;19;6;9.4;0;0;0;1.291
2021;10;2;20;6;9.9;0;0;0;1.389
2021;10;2;21;6;3.9;0;0;0;1.405
2021;10;2;22;6;6.9;0;0;0;1.373
2021;10;2;23;6;3.9;0;0;0;1.275
2021;10;2;24;6;3.9;0;0;0;1.157
2021;10;3;1;7;4.8;0;0;0;1.015
2021;10;3;2;7;3.9;0;0;0;0.889
2021;10;3;3;7;3.9;0;0;0;0.815
2021;10;3;4;7;3.7;0;0;0;0.779
2021;10;3;5;7;2.9;0;0;0;0.767
2021;10;3;6;7;3.9;0;0;0;0.779
2021;10;3;7;7;6;0;0;0;0.834
2021;10;3;8;7;10.9;0;0;0;0.905
2021;10;3;9;7;12.9;0;0;0;1.059
2021;10;3;10;7;14.2;0;0;0;1.212
2021;10;3;11;7;14.9;0;0;0;1.31
2021;10;3;12;7;15.9;0;0;0;1.33
2021;10;3;13;7;16.8;0;0;0;1.31
2021;10;3;14;7;15.9;0;0;0;1.283
2021;10;3;15;7;14.9;0;0;0;1.255
2021;10;3;16;7;14.2;0;0;0;1.236
2021;10;3;17;7;11.9;0;0;0;1.236
2021;10;3;18;7;8.9;0;0;0;1.263
2021;10;3;19;7;9;0;0;0;1.342
2021;10;3;20;7;9.9;0;0;0;1.48
2021;10;3;21;7;7.9;0;0;0;1.515
2021;10;3;22;7;7.5;0;0;0;1.483
2021;10;3;23;7;7.9;0;0;0;1.365
2021;10;3;24;7;6.9;0;0;0;1.192
2021;10;4;1;1;6.8;0;0;0;1.019
2021;10;4;2;1;3.9;0;0;0;0.878
2021;10;4;3;1;3.9;0;0;0;0.807
2021;10;4;4;1;4.6;0;0;0;0.767
2021;10;4;5;1;2.9;0;0;0;0.771
2021;10;4;6;1;4.9;0;0;0;0.826
2021;10;4;7;1;5.1;0;0;0;1.019
2021;10;4;8;1;9.9;0;0;0;1.283
2021;10;4;9;1;12.9;0;0;0;1.46
2021;10;4;10;1;14.6;0;0;0;1.582
2021;10;4;11;1;14.9;0;0;0;1.621
2021;10;4;12;1;15.9;0;0;0;1.594
2021;10;4;13;1;16.5;0;0;0;1.554
2021;10;4;14;1;14.9;0;0;0;1.531
2021;10;4;15;1;14.9;0;0;0;1.507
2021;10;4;16;1;14.6;0;0;0;1.48
2021;10;4;17;1;8.9;0;0;0;1.444
2021;10;4;18;1;8.9;0;0;0;1.428
2021;10;4;19;1;10.1;0;0;0;1.487
2021;10;4;20;1;9.9;0;0;0;1.602
2021;10;4;21;1;8.9;0;0;0;1.598
2021;10;4;22;1;7.3;0;0;0;1.546
2021;10;4;23;1;7.9;0;0;0;1.405
2021;10;4;24;1;5.9;0;0;0;1.216
2021;10;5;1;2;5.6;0;0;0;1.027
2021;10;5;2;2;5.9;0;0;0;0.893
2021;10;5;3;2;5.9;0;0;0;0.822
2021;10;5;4;2;5;0;0;0;0.795
2021;10;5;5;2;4.9;0;0;0;0.799
2021;10;5;6;2;5.9;0;0;0;0.854
2021;10;5;7;2;6.2;0;0;0;1.039
2021;10;5;8;2;7.9;0;0;0;1.31
2021;10;5;9;2;10.9;0;0;0;1.476
2021;10;5;10;2;12.8;0;0;0;1.586
2021;10;5;11;2;13.9;0;0;0;1.605
2021;10;5;12;2;14.9;0;0;0;1.578
2021;10;5;13;2;16.3;0;0;0;1.546
2021;10;5;14;2;14.9;0;0;0;1.531
2021;10;5;15;2;14.9;0;0;0;1.511
2021;10;5;16;2;14.1;0;0;0;1.476
2021;10;5;17;2;11.9;0;0;0;1.448
2021;10;5;18;2;10.9;0;0;0;1.436
2021;10;5;19;2;8.9;0;0;0;1.503
2021;10;5;20;2;7.9;0;0;0;1.609
2021;10;5;21;2;8.9;0;0;0;1.609
2021;10;5;22;2;7.1;0;0;0;1.558
2021;10;5;23;2;7.9;0;0;0;1.424
2021;10;5;24;2;7.9;0;0;0;1.236
2021;10;6;1;3;5.7;0;0;0;1.047
2021;10;6;2;3;5.9;0;0;0;0.909
2021;10;6;3;3;5.9;0;0;0;0.834
2021;10;6;4;3;4.3;0;0;0;0.803
2021;10;6;5;3;4.9;0;0;0;0.803
2021;10;6;6;3;5.9;0;0;0;0.858
2021;10;6;7;3;6.5;0;0;0;1.055
2021;10;6;8;3;9.9;0;0;0;1.314
2021;10;6;9;3;10.9;0;0;0;1.476
2021;10;6;10;3;14.2;0;0;0;1.578
2021;10;6;11;3;12.9;0;0;0;1.59
2021;10;6;12;3;12.9;0;0;0;1.566
2021;10;6;13;3;14.1;0;0;0;1.539
2021;10;6;14;3;13.9;0;0;0;1.535
2021;10;6;15;3;12.9;0;0;0;1.527
2021;10;6;16;3;12.4;0;0;0;1.495
2021;10;6;17;3;9.9;0;0;0;1.468
2021;10;6;18;3;8.9;0;0;0;1.468
2021;10;6;19;3;7.5;0;0;0;1.535
2021;10;6;20;3;7.9;0;0;0;1.633
2021;10;6;21;3;5.9;0;0;0;1.641
2021;10;6;22;3;4;0;0;0;1.598
2021;10;6;23;3;4.9;0;0;0;1.456
2021;10;6;24;3;3.9;0;0;0;1.267
2021;10;7;1;4;2.5;0;0;0;1.078
2021;10;7;2;4;1.9;0;0;0;0.937
2021;10;7;3;4;1.9;0;0;0;0.862
2021;10;7;4;4;1.3;0;0;0;0.834
2021;10;7;5;4;1.9;0;0;0;0.83
2021;10;7;6;4;1.9;0;0;0;0.893
2021;10;7;7;4;2.9;0;0;0;1.082
2021;10;7;8;4;5.9;0;0;0;1.362
2021;10;7;9;4;7.9;0;0;0;1.543
2021;10;7;10;4;9.4;0;0;0;1.657
2021;10;7;11;4;9.9;0;0;0;1.672
2021;10;7;12;4;10.9;0;0;0;1.645
2021;10;7;13;4;12.7;0;0;0;1.617
2021;10;7;14;4;11.9;0;0;0;1.598
2021;10;7;15;4;10.9;0;0;0;1.57
2021;10;7;16;4;11;0;0;0;1.539
2021;10;7;17;4;7.9;0;0;0;1.519
2021;10;7;18;4;6.9;0;0;0;1.519
2021;10;7;19;4;8.3;0;0;0;1.574
2021;10;7;20;4;5.9;0;0;0;1.676
2021;10;7;21;4;6.9;0;0;0;1.668
2021;10;7;22;4;6.9;0;0;0;1.625
2021;10;7;23;4;4.9;0;0;0;1.495
2021;10;7;24;4;2.9;0;0;0;1.299
2021;10;8;1;5;3.9;0;0;0;1.106
2021;10;8;2;5;0.9;0;0;0;0.96
2021;10;8;3;5;0.9;0;0;0;0.885
2021;10;8;4;5;2.8;0;0;0;0.85
2021;10;8;5;5;-0.1;0;0;0;0.85
2021;10;8;6;5;3.9;0;0;0;0.909
2021;10;8;7;5;4.4;0;0;0;1.098
2021;10;8;8;5;7.9;0;0;0;1.358
2021;10;8;9;5;8.9;0;0;0;1.535
2021;10;8;10;5;11;0;0;0;1.661
2021;10;8;11;5;10.9;0;0;0;1.668
2021;10;8;12;5;11.9;0;0;0;1.641
2021;10;8;13;5;12.2;0;0;0;1.609
2021;10;8;14;5;11.9;0;0;0;1.586
2021;10;8;15;5;10.9;0;0;0;1.554
2021;10;8;16;5;10.4;0;0;0;1.523
2021;10;8;17;5;6.9;0;0;0;1.491
2021;10;8;18;5;6.9;0;0;0;1.511
2021;10;8;19;5;7.7;0;0;0;1.562
2021;10;8;20;5;4.9;0;0;0;1.637
2021;10;8;21;5;4.9;0;0;0;1.621
2021;10;8;22;5;6.8;0;0;0;1.562
2021;10;8;23;5;2.9;0;0;0;1.448
2021;10;8;24;5;1.9;0;0;0;1.291
2021;10;9;1;6;4.1;0;0;0;1.141
2021;10;9;2;6;0.9;0;0;0;0.984
2021;10;9;3;6;0.9;0;0;0;0.905
2021;10;9;4;6;2.7;0;0;0;0.85
2021;10;9;5;6;-0.1;0;0;0;0.854
2021;10;9;6;6;0.9;0;0;0;0.87
2021;10;9;7;6;2.8;0;0;0;0.948
2021;10;9;8;6;5.9;0;0;0;1.055
2021;10;9;9;6;8.9;0;0;0;1.24
2021;10;9;10;6;10.4;0;0;0;1.413
2021;10;9;11;6;10.9;0;0;0;1.491
2021;10;9;12;6;10.9;0;0;0;1.495
2021;10;9;13;6;12.8;0;0;0;1.464
2021;10;9;14;6;11.9;0;0;0;1.436
2021;10;9;15;6;10.9;0;0;0;1.397
2021;10;9;16;6;10.7;0;0;0;1.373
2021;10;9;17;6;6.9;0;0;0;1.354
2021;10;9;18;6;5.9;0;0;0;1.377
2021;10;9;19;6;7.2;0;0;0;1.452
2021;10;9;20;6;1.9;0;0;0;1.543
2021;10;9;21;6;0.9;0;0;0;1.543
2021;10;9;22;6;5.9;0;0;0;1.507
2021;10;9;23;6;0.9;0;0;0;1.409
2021;10;9;24;6;0.9;0;0;0;1.271
2021;10;10;1;7;3.5;0;0;0;1.121
2021;10;10;2;7;-1.1;0;0;0;0.984
2021;10;10;3;7;0.9;0;0;0;0.905
2021;10;10;4;7;4.2;0;0;0;0.862
2021;10;10;5;7;2.9;0;0;0;0.842
2021;10;10;6;7;3.9;0;0;0;0.858
2021;10;10;7;7;5.4;0;0;0;0.917
2021;10;10;8;7;6.9;0;0;0;0.988
2021;10;10;9;7;8.9;0;0;0;1.157
2021;10;10;10;7;8.7;0;0;0;1.35
2021;10;10;11;7;11.9;0;0;0;1.472
2021;10;10;12;7;13.9;0;0;0;1.495
2021;10;10;13;7;15.3;0;0;0;1.468
2021;10;10;14;7;13.9;0;0;0;1.436
2021;10;10;15;7;12.9;0;0;0;1.393
2021;10;10;16;7;12.7;0;0;0;1.369
2021;10;10;17;7;7.9;0;0;0;1.362
2021;10;10;18;7;7.9;0;0;0;1.393
2021;10;10;19;7;8.6;0;0;0;1.495
2021;10;10;20;7;3.9;0;0;0;1.621
2021;10;10;21;7;2.9;0;0;0;1.653
2021;10;10;22;7;5.7;0;0;0;1.613
2021;10;10;23;7;1.9;0;0;0;1.487
2021;10;10;24;7;0.9;0;0;0;1.306
2021;10;11;1;1;4.9;0;0;0;1.121
2021;10;11;2;1;2.9;0;0;0;0.968
2021;10;11;3;1;-0.1;0;0;0;0.893
2021;10;11;4;1;3.4;0;0;0;0.854
2021;10;11;5;1;-1.1;0;0;0;0.85
2021;10;11;6;1;0.9;0;0;0;0.913
2021;10;11;7;1;5.2;0;0;0;1.114
2021;10;11;8;1;8.9;0;0;0;1.405
2021;10;11;9;1;10.9;0;0;0;1.59
2021;10;11;10;1;12.7;0;0;0;1.712
2021;10;11;11;1;13.9;0;0;0;1.747
2021;10;11;12;1;13.9;0;0;0;1.735
2021;10;11;13;1;15.7;0;0;0;1.696
2021;10;11;14;1;13.9;0;0;0;1.661
